unique_id,rating,pid,album_name,track_name,artist_name,Genre,cluster,cluster_label
1,3,0,The Cookbook,Lose Control (feat. Ciara & Fat Man Scoop),missy elliott,Hip hop,7,15
2,4,0,In The Zone,Toxic,britney spears,Pop,2,16
3,1,0,Dangerously In Love (Alben für die Ewigkeit),Crazy In Love,beyoncé,,8,5
4,2,0,Justified,Rock Your Body,justin timberlake,Pop,7,5
5,1,0,Hot Shot,It Wasn't Me,shaggy,Reggae,3,7
6,3,0,Confessions,Yeah!,usher,R&B,3,16
7,4,0,Confessions,My Boo,usher,R&B,3,16
8,4,0,PCD,Buttons,the pussycat dolls,Pop,3,16
9,2,0,The Writing's On The Wall,Say My Name,destiny's child,R&B,2,7
10,4,0,Speakerboxxx/The Love Below,Hey Ya! - Radio Mix / Club Mix,outkast,Hip hop,7,15
11,3,0,Loose,Promiscuous,nelly furtado,Pop,7,15
12,4,0,Right Where You Want Me,Right Where You Want Me - Radio Edit Version,jesse mccartney,Pop,7,15
13,4,0,Beautiful Soul,Beautiful Soul,jesse mccartney,Pop,7,15
14,4,0,Departure - Recharged,Leavin',jesse mccartney,Pop,7,15
15,3,0,Cassie,Me & U,cassie,R&B,2,16
16,2,0,21,Ice Box,omarion,R&B,7,5
17,4,0,Let Go,Sk8er Boi,avril lavigne,Pop punk,2,16
18,2,0,Chris Brown,Run It!,chris brown,R&B,2,7
19,2,0,B'Day,Check On It - feat. Bun B and Slim Thug,beyoncé,,8,5
20,1,0,The Writing's On The Wall,"Jumpin', Jumpin'",destiny's child,R&B,2,7
21,1,0,C'Mon C'Mon,Soak Up The Sun,sheryl crow,Rock,3,7
22,3,0,Elephunk,Where Is The Love?,the black eyed peas,Hip hop,3,16
23,2,0,I've Never Done Anything Like This,Stacy's Mom,bowling for soup,Pop punk,2,7
24,1,0,Greetings From Imrie House,Just The Girl,the click five,Pop rock,3,7
25,3,0,Chris Brown,Yo (Excuse Me Miss),chris brown,R&B,2,16
26,3,0,Jonas Brothers,Year 3000,jonas brothers,Pop rock,7,15
27,2,0,Lip Gloss,Lip Gloss,lil mama,Hip hop,7,5
28,4,0,Everytime We Touch,Everytime We Touch - Radio Edit,cascada,Eurodance,2,16
29,1,0,Jason Derulo,Whatcha Say,jason derulo,Pop,7,5
30,1,0,Year Of The Gentleman,Miss Independent,ne-yo,R&B,7,5
31,4,0,The Time Of Our Lives,Party In The U.S.A.,miley cyrus,Pop,7,15
32,4,0,Boys Like Girls,The Great Escape,boys like girls,Pop rock,2,16
33,3,0,Replay,Replay,iyaz,R&B,7,15
34,2,0,Exclusive - The Forever Edition,Forever,chris brown,R&B,2,7
35,1,0,Animal,Your Love Is My Drug,kesha,Pop,7,5
36,3,0,Year Of The Gentleman,Closer,ne-yo,R&B,7,15
37,3,0,My World,One Less Lonely Girl,justin bieber,Pop,7,15
38,1,0,Kala,Paper Planes,m.i.a.,Alternative hip hop,7,5
39,1,0,Hot Fuss,Mr. Brightside,the killers,Indie rock,3,7
40,1,0,Enema Of The State,All The Small Things,blink-182,Pop punk,2,7
41,4,0,PCD,Beep,the pussycat dolls,Pop,3,16
42,4,0,My Worlds,Somebody To Love,justin bieber,Pop,7,15
43,4,0,Move Along,Dirty Little Secret,the all-american rejects,Pop rock,3,16
44,1,0,My Worlds,Baby,justin bieber,Pop,7,5
45,1,0,Be Not Nobody,A Thousand Miles,vanessa carlton,Pop,3,7
46,3,0,Red Road,Livin on Sunday,cris cab,Pop,2,16
47,2,0,See You Again,See You Again,miley cyrus,Pop,7,5
48,5,0,Departure - Recharged,How Do You Sleep? - Featuring Ludacris,jesse mccartney,Pop,7,15
49,3,0,Camp Rock Original Soundtrack,This Is Me,demi lovato,Pop,2,16
50,2,0,Under My Skin,My Happy Ending,avril lavigne,Pop punk,2,7
51,1,0,We The Kings,Check Yes Juliet,we the kings,Pop rock,3,7
52,2,1,Eye Of The Tiger,Eye of the Tiger,survivor,Rock,3,7
53,3,1,Versus Hollywood,Libera Me From Hell (Tengen Toppa Gurren Lagann),daniel tidwell,Heavy metal,2,16
54,2,1,Versus Hollywood,Pokémon Theme,daniel tidwell,Heavy metal,2,7
55,1,1,Versus Hollywood,Concerning Hobbits (The Lord of the Rings),daniel tidwell,Heavy metal,2,7
56,2,1,Versus Hollywood,The Blood of Cuchulainn (The Boondock Saints),daniel tidwell,Heavy metal,2,7
57,2,1,Versus Hollywood,He's a Pirate (Pirates of the Caribbean),daniel tidwell,Heavy metal,2,7
58,4,1,Versus Video Games,Very Bloody Tears (Castlevania II: Simon's Quest),daniel tidwell,Heavy metal,2,16
59,1,1,"Video Game Remixes, Vol. 1",U.N. Owen Was Her? (Remix),kaleptik,Electronic,7,5
60,4,1,Doctor Who: Series 6 (Original Television Soundtrack),I am the Doctor in Utah,ben foster,Soundtrack,2,16
61,3,1,Hamilton,The Room Where It Happens,leslie odom jr.,R&B,7,15
62,4,1,Hamilton,Right Hand Man,christopher jackson,R&B,2,16
63,2,1,Hamilton,Alexander Hamilton,leslie odom jr.,R&B,7,5
64,1,1,Hamilton,My Shot,lin-manuel miranda,Broadway,7,5
65,1,1,Led Zeppelin IV,Stairway To Heaven,led zeppelin,Rock,7,5
66,3,1,"Hints, Allegations & Things Left Unsaid",Shine,collective soul,Alternative rock,2,16
67,1,1,Once,Ghost Love Score,nightwish,Symphonic metal,7,5
68,3,1,Best 1991 - 2004,Crazy,seal,Soul,3,16
69,3,1,Beggars Banquet,Sympathy For The Devil,the rolling stones,Rock,3,16
70,2,1,Let It Bleed,Gimme Shelter,the rolling stones,Rock,3,7
71,3,1,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird,lynyrd skynyrd,Southern rock,7,15
72,2,1,Boston,Peace of Mind,boston,Rock,2,7
73,2,1,Boston,Foreplay / Long Time,boston,Rock,2,7
74,3,1,Toto,Hold the Line,toto, Rock,3,16
75,2,1,Leftoverture,Carry on Wayward Son,kansas, Rock,7,5
76,4,1,A Night At The Opera,Bohemian Rhapsody - Remastered 2011,queen, Rock,3,16
77,1,1,Second Helping,Sweet Home Alabama,lynyrd skynyrd,Southern rock,7,5
78,1,1,Boston,More Than a Feeling,boston,Rock,2,7
79,2,1,Physical Graffiti,Kashmir,led zeppelin,Rock,7,5
80,4,1,Doctor Who: Series 6 (Original Television Soundtrack),The Majestic Tale (Of A Madman In A Box),ben foster,Soundtrack,2,16
81,1,1,Appetite For Destruction,Sweet Child O' Mine,guns n' roses, Rock,7,5
82,1,1,Willy And The Poor Boys,Fortunate Son,creedence clearwater revival,Rock,2,7
83,3,1,Love At First Sting,Rock You Like A Hurricane,scorpions,Rock,3,16
84,4,1,Moving Pictures,Tom Sawyer,rush, Rock,3,16
85,4,1,Moving Pictures,Red Barchetta,rush, Rock,3,16
86,4,1,Moving Pictures,YYZ,rush, Rock,3,16
87,5,1,Moving Pictures,Limelight,rush, Rock,3,16
88,5,1,Moving Pictures,The Camera Eye,rush, Rock,3,16
89,5,1,Moving Pictures,Witch Hunt,rush, Rock,3,16
90,5,1,Moving Pictures,Vital Signs,rush, Rock,3,16
91,1,2,On And On,Like You,hoody, K-pop,1,7
92,3,2,GOOD (feat. ELO),GOOD (feat. ELO),loco, K-pop,1,16
93,1,2,Inferiority Complex (feat. Eunha),Inferiority Complex (feat. Eunha),park kyung, K-pop,5,5
94,3,2,Ordinary Love (Feat.Park Boram),Ordinary Love,park kyung, K-pop,5,1
95,5,2,You Never Walk Alone,Spring Day,bts, K-pop,8,15
96,2,2,Lovelyz8,Ah-Choo,lovelyz, K-pop,5,5
97,4,2,SEOULITE,BREATHE,lee hi, K-pop,1,16
98,3,2,SEOULITE,FXXK WIT US,lee hi, K-pop,1,16
99,3,2,U&I,I Will Show You,ailee, K-pop,8,15
100,3,2,Take Me,Take Me,miso, K-pop,5,1
101,2,2,꺼내 먹어요 (Eat) - Single,꺼내 먹어요 (Eat),zion.t, K-pop,0,7
102,1,2,No Make Up - Single,No Make Up,zion.t, K-pop,0,7
103,2,2,"K.A.R.D Project Vol.1 ""Oh NaNa""",Oh NaNa (Hidden. HUR YOUNG JI),kard, K-pop,1,7
104,4,2,"K.A.R.D Project Vol.2 ""Don't Recall""",Don't Recall,kard, K-pop,1,16
105,2,2,양화대교 (Yanghwa Brdg) - Single,양화대교 (Yanghwa Brdg),zion.t, K-pop,0,7
106,2,2,Some,Some (feat.Geeks Lil Boi),soyou & junggigo, K-pop,0,7
107,3,2,Everything You Wanted,Me Like Yuh,jay park, K-pop,1,16
108,3,2,Everything You Wanted,사실은 The Truth Is,jay park, K-pop,1,16
109,1,2,Everything You Wanted,Solo (feat. Hoody),jay park, K-pop,1,7
110,4,2,Boys And Girls,Boys and Girls (feat. Babylon),zico, K-pop,0,16
111,4,2,Guardian (Original Television Soundtrack) Part 9,I will go to you like the first snow,ailee, K-pop,8,15
112,4,2,First Love,Rose,lee hi, K-pop,1,16
113,3,2,Everything You Wanted,Aquaman,jay park, K-pop,1,16
114,5,2,Skool Luv Affair,Just One Day,bts, K-pop,8,15
115,1,2,SQUARE ONE,WHISTLE - KR Ver.,blackpink, K-pop,8,5
116,3,2,The Manual,The Manual,eddy kim, K-pop,1,16
117,3,2,Heartstrings OST Part.1,Heartstrings,jung yong hwa, K-pop,1,16
118,2,2,Korea OST Top Hits 2014,See My Eyes (Heartstring OST),jung yong hwa, K-pop,1,7
119,2,2,Can't Stop,Can't Stop,cnblue, K-pop,8,5
120,4,2,BLUEMING,You're So Fine,cnblue, K-pop,8,15
121,4,2,Everything You Wanted,Drive (feat. Gray),jay park, K-pop,1,16
122,4,2,Pink LUV + Blossom,Mr. Chu,apink, K-pop,8,15
123,2,2,APINK BEAST ALBUM,NoNoNo,apink, K-pop,8,5
124,2,2,Dream,Dream,suzy, K-pop,0,7
125,2,2,우리 옆집에 EXO가 산다 (EXO NEXT DOOR) OST,두근거려 (Beautiful),baekhyun, K-pop,8,5
126,3,2,Uncontrollably Fond OST Part.1,Ring My Bell,suzy, K-pop,0,16
127,4,2,"HWARANG, Pt. 2 (Music from the Original TV Series)",It's Definitely You,v, K-pop,0,16
128,2,2,MADE,LAST DANCE,bigbang, K-pop,8,5
129,1,2,MADE,FXXK IT,bigbang, K-pop,8,5
130,2,2,On And On,Your Eyes (feat. Jay Park),hoody, K-pop,1,7
131,4,2,As If It's Your Last,As If It's Your Last,blackpink, K-pop,8,15
132,1,2,KWON JI YONG,"Untitled, 2014 - KR Ver.",g-dragon, K-pop,1,7
133,3,2,KWON JI YONG,OUTRO: Divina Commedia - KR Ver.,g-dragon, K-pop,1,16
134,3,2,RISE,"EYES, NOSE, LIPS - KR Ver.",sol, K-pop,5,1
135,1,2,Solar,Wedding Dress,taeyang, K-pop,0,7
136,3,2,Play,200%,akdong musician, K-pop,8,15
137,1,2,SQUARE TWO,STAY - KR Ver.,blackpink, K-pop,8,5
138,4,2,Wings,21st Century Girl,bts, K-pop,8,15
139,1,2,THE WAR - The 4th Album,전야 前夜 The Eve,exo, K-pop,1,7
140,3,2,KARD 1st Mini Album 'Hola Hola',Hola Hola,kard, K-pop,1,16
141,1,2,A+,Roll Deep,hyuna, K-pop,1,7
142,4,2,SUMMER EPISODE,DINOSAUR,akdong musician, K-pop,8,15
143,4,2,THE WAR - The 4th Album,Ko Ko Bop,exo, K-pop,1,16
144,1,2,JUNG YONG HWA 1ST MINI ALBUM DO DISTURB,That Girl (Feat. Loco),jung yong hwa, K-pop,1,7
145,4,2,Yacht (K) [feat. Sik-K],Yacht (K) [feat. Sik-K],jay park, K-pop,1,16
146,5,2,The Most Beautiful Moment in Life Pt.1,Hold Me Tight,bts, K-pop,8,15
147,4,2,Cliché,Cliché,jenyer, K-pop,1,16
148,3,2,THE WAR - The 4th Album,What U do?,exo, K-pop,1,16
149,1,2,Anck Su Namum,Anck Su Namum,yezi, K-pop,0,7
150,1,2,Call You Bae,Call You Bae,jimin (aoa), K-pop,1,7
151,5,2,Love Yourself 承 'Her',Intro: Serendipity,bts, K-pop,8,15
152,4,2,Love Yourself 承 'Her',DNA,bts, K-pop,8,15
153,5,2,Love Yourself 承 'Her',dimple,bts, K-pop,8,15
154,4,2,Love Yourself 承 'Her',MIC Drop,bts, K-pop,8,15
155,2,3,French Festival,Danse macabre,camille saint-saëns,,8,5
156,2,3,"Grieg, Saint-Saëns: Piano Concertos","Piano concerto No. 2 in G Minor, Op. 22: Piano concerto No. 2 in G Minor, Op. 22: II. Allegro scherzando",camille saint-saëns,,8,5
157,1,3,Summer Break Mixtape,Dræm Girl,no vacation, Indie pop,5,5
158,3,3,Summer Break Mixtape,Sad Valentine,no vacation, Indie pop,5,1
159,1,3,You Say I'm in Love,You Say I'm in Love,banes world, Indie rock,8,5
160,4,3,Drowsy,Drowsy,banes world, Indie rock,8,15
161,3,3,Ugly Cherries,Serving Goffman,pwr bttm, Punk,3,1
162,2,3,Songs From The Big Chair,Sea Song,tears for fears, New wave,0,7
163,2,3,Only No One,Fortune Only,natureboy, Indie pop,5,1
164,2,3,Looking out for You,Looking out for You,joy again, Indie pop,1,7
165,4,3,Joy Again - EP,Necromancer,joy again, Indie pop,1,16
166,3,3,Joy Again - EP,Mistakes,joy again, Indie pop,1,16
167,3,3,Virgo's Maze,Strangest Eyes,part time, Indie pop,5,1
168,2,3,Virgo's Maze,It's Elizabeth,part time, Indie pop,5,1
169,1,3,Virgo's Maze,Pussy of my Dreams,part time, Indie pop,5,5
170,3,3,What Would You Say?,19,part time, Indie pop,5,1
171,2,3,6 Feet Beneath The Moon,Neptune Estate,king krule, Indie rock,1,7
172,1,3,Blue Planet Eyes,Somebody's Talking,the preatures, Indie pop,0,7
173,1,3,Is the Is Are,Bent (Roi's Song),diiv, Shoegaze,2,7
174,1,3,Die Alone,Just Get High,gazebos, Indie pop,1,7
175,4,3,Lost Time,I Love Seattle,tacocat, Indie pop,0,16
176,4,3,Army Navy,Dark as Days,army navy, Indie pop,8,15
177,3,3,Arrows,End It Now!,the lonely forest,Indie rock,3,1
178,4,3,Calling The World,When Did Your Heart Go Missing?,rooney, Indie rock,5,6
179,3,3,Intimacy,Signs,bloc party, Indie rock,8,15
180,4,3,Ivy Tripp,Under A Rock,waxahatchee, Indie folk,0,16
181,3,3,Veckatimest,Two Weeks,grizzly bear, Indie rock,1,16
182,1,3,Shields,Yet Again,grizzly bear, Indie rock,1,7
183,4,3,Vampire Weekend,Campus,vampire weekend, Indie pop,0,16
184,2,3,Our House on the Hill,Mess Me Around,the babies, Indie pop,0,7
185,3,3,Drug For The Modern Age,Talk To Me,kopecky, Indie pop,1,16
186,3,3,Nothing But Thieves,Trip Switch,nothing but thieves, Indie rock,5,1
187,4,3,Heart It Races,Heart It Races - Dr Dog Version,dr. dog, Indie rock,1,16
188,3,3,The Waterfall,Big Decisions,my morning jacket, Indie rock,5,1
189,1,3,Don't You,It's All in Vain,wet, Indie pop,0,7
190,2,3,Don't You,Deadwater,wet, Indie pop,0,7
191,4,3,C U Girl,C U Girl,steve lacy, R&B,3,16
192,1,3,ALL-AMERICAN TRASH,HOME,brockhampton, Hip hop,8,5
193,2,3,ALL-AMERICAN TRASH,CONTACTS,brockhampton, Hip hop,8,5
194,1,3,Can't Come Down,Can't Come Down,a.dd+,Hip hop,2,7
195,2,3,Luv,Luv,antwon, Hip hop,8,5
196,3,3,Dying in the Pussy,Life Is What You Make It,antwon, Hip hop,8,15
197,4,3,Red Teenage Melody,Contraband,night lovell, Hip hop,5,6
198,4,3,Pale Machine,Miss You,bo en, Electronic,9,15
199,2,3,Pale Machine Expansion Pack Singles,Money Won't Pay,bo en, Electronic,9,5
200,4,3,Pale Machine Expansion Pack Singles,I'll Fall,bo en, Electronic,9,15
201,4,3,I.,Nothing's Gonna Hurt You Baby,cigarettes after sex, Dream pop,9,15
202,4,3,Affection,Affection,cigarettes after sex, Dream pop,9,15
203,2,3,It's All In Your Head,I Like You,dandelion hands, Lo-fi,8,5
204,3,3,Naked All the Time,Strange to Hear,sports, Indie pop,0,16
205,4,3,Listen,Sweet Emotion,the kooks, Indie rock,0,16
206,2,3,A Promise,Pink City,xiu xiu, Experimental,0,7
207,4,3,Live A Little Love A Lot,First Balloon To Nice,moose, Shoegaze,7,15
208,5,3,Live A Little Love A Lot,Rubdown,moose, Shoegaze,7,6
209,4,3,Live A Little Love A Lot,So Much Love So Little Time,moose, Shoegaze,7,15
210,4,3,Live A Little Love A Lot,Last Of The Good Old Days,moose, Shoegaze,7,15
211,4,3,. . . XYZ,Screaming,moose, Shoegaze,7,15
212,4,3,Descended Like Vultures,Love's Lost Guarantee,rogue wave, Indie rock,5,6
213,4,3,10:1,10:1,rogue wave, Indie rock,5,6
214,4,3,10:1,Crush The Camera,rogue wave, Indie rock,5,6
215,5,3,Out of the Shadow,Every Moment,rogue wave, Indie rock,5,6
216,4,3,Out of the Shadow,Endgame,rogue wave, Indie rock,5,6
217,4,3,Pinkerton,El Scorcho,weezer, Alternative rock,6,6
218,4,3,soft & wet,Veldt,meltycanon, Electronic,4,6
219,3,3,soft & wet,Patroklos,meltycanon, Electronic,4,1
220,2,3,old compilation 3,suncream,meltycanon, Electronic,4,1
221,2,3,Moth,Crying in Public,chairlift, Indie pop,8,5
222,4,3,Caramel,It's Your Body 4,connan mockasin, Psychedelic pop,2,16
223,4,3,Marcy Playground,Poppies,marcy playground, Alternative rock,4,6
224,1,3,Summer House,Just Kiss Her,concorde, Indie pop,8,5
225,2,3,Infinity,Infinity,mariah carey, R&B,7,5
226,3,3,E=MC²,Touch My Body,mariah carey, R&B,7,15
227,3,3,We're Not Just Friends,We're Not Just Friends,"parks, squares and alleys",,5,1
228,1,3,Quebec,Tried And True,ween, Alternative rock,6,5
229,3,3,It's About Time,Weak,swv, R&B,3,1
230,3,3,Morningside,Lucky Girl,fazerdaze, Dream pop,9,15
231,2,3,"Mons Vi Bootlegs, Vol. 1 (B-Sides Compilation)",Stay (Bedroom Tape),mons vi, Indie pop,5,1
232,4,3,Dead Man's Party,Weird Science,oingo boingo, New wave,5,6
233,5,3,Dead Man's Party,No One Lives Forever,oingo boingo, New wave,5,6
234,5,3,Boingo Alive,Wild Sex (In The Working Class) - 1988 Boingo Alive Version,oingo boingo, New wave,5,6
235,5,3,Only A Lad,Only A Lad,oingo boingo, New wave,5,6
236,5,3,Skeletons In The Closet: The Best Of Oingo Boingo,Private Life - Edited Version,oingo boingo, New wave,5,6
237,4,3,melanchole,i was all over her,salvia palth, Lo-fi,5,6
238,2,3,Blonde Tongues,Hey Good Lookin',blonde tongues, Ambient,9,5
239,4,3,The Age of Adz,All for Myself,sufjan stevens, Indie folk,0,16
240,2,3,"""What Is This Heart?""",Words I Don't Remember,how to dress well, R&B,7,5
241,3,3,Care,Lost Youth / Lost You,how to dress well, R&B,7,15
242,1,3,What You Won't Do for Love,What You Won't Do for Love,bobby caldwell, R&B,2,7
243,5,3,Candy Apple Grey,Don't Want To Know If You Are Lonely,hüsker dü,,1,16
244,4,3,Eight Miles High/Makes No Sense At All (Single),Eight Miles High,hüsker dü,,1,16
245,4,3,Warehouse: Songs And Stories,Turn It Around,hüsker dü,,1,16
246,5,3,Warehouse: Songs And Stories,She's A Woman [And Now He Is A Man],hüsker dü,,1,16
247,5,3,Candy Apple Grey,Crystal,hüsker dü,,1,16
248,3,3,Turning Japanese - Best Of The Vapors,Turning Japanese,the vapors, New wave,0,16
249,4,3,Interference / Smile & Gesture,Interference,lets kill janice, Indie rock,1,16
250,4,3,Grow,Nothing Lasts,bedroom, Dream pop,9,15
251,1,3,Vivid,Nostalgic Feel,bedroom, Dream pop,9,5
252,4,3,Playground,Spread A Little Sunshine,the truth, Indie pop,0,16
253,4,3,Gift,Drugs,gift, Indie pop,1,16
254,2,3,Lucky Streik,Kalte Wut / Wenn Ich Einmal Reich Bin,floh de cologne, Krautrock,1,7
255,1,3,May Blitz,Smoking the Day Away,may blitz, Hard rock,5,5
256,4,3,High Plains Drifter,High Plains Anthem,jehst, Hip hop,1,16
257,1,3,Enta da Stage,Who Got Da Props,black moon, Hip hop,8,5
258,3,3,Here Come the Lords,Chief Rocka,lords of the underground, Hip hop,5,1
259,4,3,One by One,Love's Been Good To Me,rod mckuen, Pop,5,6
260,1,3,"Songs of Rod McKuen, Vol. 1 & 2",Listen to the Warm,john safranko, Folk,4,7
261,1,3,Alopecia,Fatalist Palmistry,why?, Indie rock,0,7
262,4,3,"Cult of Personality - So Sad, So Sad","So Sad, So Sad",varsity, Indie pop,0,16
263,2,3,"Cult of Personality - So Sad, So Sad",Cult of Personality,varsity, Indie pop,0,7
264,1,3,What Do You Think About the Car?,Brazil,declan mckenna, Indie rock,8,5
265,4,3,What Do You Think About the Car?,Bethlehem,declan mckenna, Indie rock,8,15
266,4,3,Yesterday's Tomorrow,Why iii Love The Moon.,phony ppl, R&B,3,16
267,2,3,Home Again,I'll Get Along,michael kiwanuka, Soul,7,5
268,4,3,At Last!,A Sunday Kind Of Love - Single Version,etta james,R&B,2,16
269,2,3,Dear You,Chemistry,jawbreaker,Punk rock,7,5
270,1,3,Jettison,Soldiers Requiem,naked raygun,Punk rock,7,5
271,2,3,Raygun...Naked Raygun,Camarilla,naked raygun,Punk rock,7,5
272,1,3,Jettison,Vanilla Blue,naked raygun,Punk rock,7,5
273,4,3,Dragonchaser,Push,fog lake,Dream pop,2,16
274,1,3,Driftless,Driftless,vansire,Dream pop,3,7
275,2,3,Heart Land,I'm So Ugly,good good blood, Folk,4,1
276,1,3,Wounds,Wounds,ourselves the elves, Indie folk,5,5
277,1,3,Broken,"You Loved Me, You Killed Me",odina, Indie folk,5,5
278,3,3,Goose Bumps,Embarrassingly Enough,boyscott, Dream pop,9,3
279,3,3,Suburban Lawns,Janitor,suburban lawns, New wave,0,16
280,4,3,Timeline,Elegy,mild high club, Psychedelic pop,7,6
281,4,4,Mellon Collie and the Infinite Sadness,"Tonight, Tonight",the smashing pumpkins, Alternative rock,6,6
282,2,4,(What's The Story) Morning Glory? [Remastered],Wonderwall - Remastered,oasis, Britpop,6,5
283,4,4,I Don't Want To Miss A Thing,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",aerosmith, Rock,2,16
284,4,4,Retrospective 1990-2005 [Ltd. Deluxe Version],Jealousy - Remastered Single Version,natalie merchant, Folk rock,5,6
285,4,4,Crazysexycool,Waterfalls,tlc,R&B,3,16
286,5,4,Mellon Collie and the Infinite Sadness,1979,the smashing pumpkins, Alternative rock,6,6
287,4,4,Left Of The Middle,Torn,natalie imbruglia, Pop rock,5,6
288,1,4,Tails,Stay,lisa loeb & nine stories, Pop rock,1,9
289,4,4,Toni Braxton,Breathe Again,toni braxton, R&B,3,16
290,1,4,Surfacing,Angel,sarah mclachlan, Pop,5,5
291,2,4,Urban Hymns,Bitter Sweet Symphony,the verve, Britpop,6,5
292,1,4,Grave Dancers Union,Runaway Train,soul asylum, Alternative rock,6,5
293,3,4,Villains,The Freshmen,the verve pipe, Alternative rock,6,1
294,1,4,Life For Rent,White Flag,dido, Pop,8,5
295,1,4,The Best Of Sade,Smooth Operator - Single Version,sade, R&B,3,9
296,1,4,The Best Of Suzanne Vega - Tried And True,"Tom's Diner - 7"" Version",dna, Electronic,9,5
297,3,4,Cracked Rear View,Only Wanna Be With You,hootie & the blowfish, Rock,7,3
298,3,5,The Kickback,Teach Me How to Dougie,cali swag district, Hip hop,8,3
299,3,5,Party Rock,Shots,lmfao, Dance-pop,4,1
300,4,5,Vanilla Ice Is Back! - Hip Hop Classics,Ice Ice Baby,vanilla ice, Hip hop,0,16
301,3,5,The RCA Collection,Shout - Parts 1 & 2,the isley brothers, R&B,3,1
302,4,5,Mail On Sunday,Low (feat T-Pain) - Feat T-Pain Album Version,flo rida, Hip hop,1,16
303,1,5,The Beginning,The Time (Dirty Bit),the black eyed peas,Hip hop,3,9
304,1,5,Raymond v Raymond,OMG,usher,R&B,3,9
305,2,5,Thriller 25 Super Deluxe Edition,Thriller,michael jackson, Pop,5,1
306,4,5,Mack Daddy,Baby Got Back,sir mix-a-lot, Hip hop,5,6
307,4,5,Raise Your Glass,Raise Your Glass,p!nk, Pop,5,6
308,2,5,Cha Cha Slide,Cha Cha Slide - Original Live Platinum Band Mix,mr. c the slide man, Hip hop,5,1
309,2,5,Sweet Caroline,Sweet Caroline,neil diamond, Pop,5,1
310,3,5,Time For A Change,Cupid Shuffle,cupid, R&B,2,1
311,1,5,The Fame,Just Dance,lady gaga, Pop,1,9
312,2,5,Evacuate The Dancefloor,Evacuate The Dancefloor,cascada,Eurodance,2,9
313,3,5,Discovery,One More Time,daft punk, Electronic,9,3
314,2,5,Only One Flo [Part 1],Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta,flo rida, Hip hop,1,9
315,3,5,Planet Pit (Deluxe Version),Give Me Everything,pitbull, Hip hop,5,1
316,3,5,Sorry For Party Rocking,Party Rock Anthem,lmfao, Dance-pop,4,1
317,2,5,Talk That Talk,We Found Love,rihanna, R&B,3,1
318,1,5,"Save Me, San Francisco (Golden Gate Edition)",Marry Me,train, Rock,3,9
319,1,5,Pink Friday ... Roman Reloaded,Starships,nicki minaj, Hip hop,5,5
320,2,5,At Last!,At Last - Single Version,etta james,R&B,2,9
321,2,5,Wild Cherry,Play That Funky Music,wild cherry, Funk,0,9
322,2,5,30 Essential Old School Hits,Tootsie Roll,old school players, Hip hop,5,1
323,2,5,The Essential Michael Jackson,The Way You Make Me Feel - Single Version,michael jackson, Pop,5,1
324,1,5,Big Willie Style,Miami,will smith, Hip hop,0,9
325,3,5,Thriller 25 Super Deluxe Edition,Billie Jean,michael jackson, Pop,5,1
326,3,5,Is This Love,Is This Love - Montmartre Remix,bob marley & the wailers,Reggae,2,1
327,2,5,x,Thinking Out Loud,ed sheeran,Pop,2,9
328,4,5,Doo-Wops & Hooligans,Marry You,bruno mars, Pop,8,6
329,3,5,Messenger,I Could Not Ask For More,edwin mccain, Rock,2,1
330,4,5,We Sing. We Dance. We Steal Things.,Lucky,jason mraz,Pop,7,6
331,3,5,Sixpence None the Richer,Kiss Me,sixpence none the richer, Pop,5,1
332,1,5,"Oh, What A Life",Best Day Of My Life,american authors, Indie pop,8,5
333,1,5,Love Always,All My Life,k-ci & jojo,R&B,7,5
334,1,5,Onka's Big Moka,Dancing in the Moonlight,toploader, Pop,0,9
335,2,5,All Of You,I Do,colbie caillat, Pop,8,3
336,2,5,I AM...SASHA FIERCE - Platinum Edition,Single Ladies (Put a Ring on It),beyoncé,,8,3
337,1,5,Big Whiskey and the GrooGrux King,You & Me,dave matthews band, Rock,2,9
338,4,5,THE E.N.D. (THE ENERGY NEVER DIES),I Gotta Feeling,the black eyed peas,Hip hop,3,6
339,1,5,Bangerz (Deluxe Version),We Can't Stop,miley cyrus,Pop,7,5
340,4,5,Melt,I Melt,rascal flatts, Country,6,6
341,4,5,Unstoppable,Summer Nights,rascal flatts, Country,6,6
342,5,5,Me And My Gang,My Wish,rascal flatts, Country,6,6
343,5,5,Me And My Gang,Life Is A Highway,rascal flatts, Country,6,6
344,5,5,Feels Like Today,Bless The Broken Road,rascal flatts, Country,6,6
345,4,5,Rewind,Payback,rascal flatts, Country,6,6
346,1,5,Greatest Hits,Mary Jane's Last Dance,tom petty and the heartbreakers, Rock,3,9
347,1,5,The Rokstarr Hits Collection,Dynamite,taio cruz, R&B,3,9
